Epoch,Train Loss,Validation Accuracy,Epoch Time,Train Size,Validation Size,Configuration ID
1,0.504347005,98.24845227,14.75181174,7620,1393,1
2,0.120344119,98.24845227,15.90878963,7620,1393,1
3,0.114566501,98.24845227,13.315171,7620,1393,1
4,0.114147938,98.18068934,13.22427726,7620,1393,1
5,0.114659504,98.17217462,12.98208594,7620,1393,1
6,0.113435906,98.16153123,12.98747921,7620,1393,1
7,0.113049562,98.24384014,11.94251227,7620,1393,1
8,0.113213505,98.2058787,12.81810522,7620,1393,1
9,0.110481555,98.21439342,11.39422846,7620,1393,1
10,0.110466555,98.22468203,11.61077285,7620,1393,1
1,0.164974125,98.24845227,11.94618177,7620,1393,2
2,0.121723913,98.24809749,10.20300412,7620,1393,2
3,0.116276565,98.24667837,9.972555161,7620,1393,2
4,0.114939107,98.24064712,9.992161274,7620,1393,2
5,0.118203906,98.22468203,11.76514363,7620,1393,2
6,0.116182977,98.23497064,12.07792997,7620,1393,2
7,0.121139238,98.2023309,12.11808205,7620,1393,2
8,0.116459305,98.23461586,12.55645275,7620,1393,2
9,0.114572274,98.19488053,12.40509486,7620,1393,2
10,0.114112917,98.22006989,9.650452852,7620,1393,2
1,0.474105138,98.24845227,9.364279509,7620,1393,3
2,0.229543544,98.24845227,10.81389999,7620,1393,3
3,0.22720011,98.24845227,11.19366288,7620,1393,3
4,0.223374541,98.24845227,10.85760117,7620,1393,3
5,0.222850582,98.24845227,10.74305558,7620,1393,3
6,0.222116338,98.24845227,11.95980453,7620,1393,3
7,0.222253029,98.24845227,10.71092606,7620,1393,3
8,0.219635897,98.24845227,10.7993176,7620,1393,3
9,0.218607512,98.24845227,10.33528018,7620,1393,3
10,0.218398747,98.24845227,10.66067147,7620,1393,3
1,0.828482604,98.24845227,11.47549391,7620,1393,4
2,0.188914384,98.24845227,9.816371441,7620,1393,4
3,0.198390559,98.24845227,9.657664299,7620,1393,4
4,0.206049657,98.24845227,7.651062012,7620,1393,4
5,0.210130203,98.24845227,8.779553652,7620,1393,4
6,0.212360191,98.24845227,8.755313635,7620,1393,4
7,0.212485193,98.24845227,9.103229284,7620,1393,4
8,0.211679434,98.24845227,9.060988188,7620,1393,4
9,0.212194603,98.24845227,9.395093203,7620,1393,4
10,0.212139901,98.24845227,8.754479885,7620,1393,4
1,1.166499079,98.24845227,16.92627883,7620,1393,5
2,0.145521327,98.24845227,14.92296791,7620,1393,5
3,0.129256886,98.24845227,17.32778716,7620,1393,5
4,0.122088222,98.24845227,15.615098,7620,1393,5
5,0.118667678,98.24845227,12.18253303,7620,1393,5
6,0.117549619,98.24845227,13.5636847,7620,1393,5
7,0.116354881,98.24845227,11.76584053,7620,1393,5
8,0.115665554,98.24845227,10.35115099,7620,1393,5
9,0.115052384,98.24845227,12.16757369,7620,1393,5
10,0.115043249,98.24845227,12.57419682,7620,1393,5
1,1.937898729,98.24845227,10.35199523,7620,1393,6
2,0.160215079,98.24845227,10.72584033,7620,1393,6
3,0.137144365,98.24845227,13.47504663,7620,1393,6
4,0.127901973,98.24845227,14.14095354,7620,1393,6
5,0.123128603,98.24845227,18.15781856,7620,1393,6
6,0.120139532,98.24845227,20.32728601,7620,1393,6
7,0.118451942,98.24845227,11.25275254,7620,1393,6
8,0.11752687,98.24845227,9.616007566,7620,1393,6
9,0.116438839,98.24845227,9.611623764,7620,1393,6
10,0.115579267,98.24845227,10.46381712,7620,1393,6
1,51.79174847,0.033704078,12.76850748,7620,1393,7
2,46.96613813,0.036542316,11.89570713,7620,1393,7
3,43.93912403,0.038316215,13.37916493,7620,1393,7
4,41.50794389,0.040090114,13.7008512,7620,1393,7
5,39.32932815,0.040799674,11.74541998,7620,1393,7
6,37.47402167,0.042928352,11.17464828,7620,1393,7
7,35.68645321,0.043637912,11.47127271,7620,1393,7
8,34.10544642,0.044702251,11.19171429,7620,1393,7
9,32.63975525,0.045057031,11.35215807,7620,1393,7
10,31.21124221,0.047185709,11.2293005,7620,1393,7
1,149.3554016,0.026963263,10.05005074,7620,1393,8
2,145.9974921,0.028027602,9.622551441,7620,1393,8
3,143.5833014,0.029446721,9.336533308,7620,1393,8
4,141.7202485,0.03051106,9.41527319,7620,1393,8
5,140.2423398,0.03051106,9.457098007,7620,1393,8
6,138.6943661,0.031930179,9.256934881,7620,1393,8
7,137.6141083,0.032284959,9.270050287,7620,1393,8
8,136.5481054,0.032639739,9.285363436,7620,1393,8
9,135.4231612,0.032639739,9.84842968,7620,1393,8
10,134.4768351,0.033349298,9.563263416,7620,1393,8
1,0.274484195,98.24845227,11.23027301,7620,1393,9
2,0.132538823,98.24845227,12.31854033,7620,1393,9
3,0.124181989,98.24845227,12.42624807,7620,1393,9
4,0.119274325,98.24845227,13.40750599,7620,1393,9
5,0.117006479,98.24845227,10.92575169,7620,1393,9
6,0.115809123,98.24845227,10.26268125,7620,1393,9
7,0.11583442,98.24845227,9.668548584,7620,1393,9
8,0.115443909,98.24845227,9.350637197,7620,1393,9
9,0.114556604,98.24845227,9.149407387,7620,1393,9
10,0.114502952,98.24845227,9.012293816,7620,1393,9
1,0.656343898,98.24845227,11.28228092,7620,1393,10
2,0.144516845,98.24845227,11.25449967,7620,1393,10
3,0.134364381,98.24845227,11.99329281,7620,1393,10
4,0.129825506,98.24845227,12.1404388,7620,1393,10
5,0.129680046,98.24845227,12.22027946,7620,1393,10
6,0.128658143,98.24845227,11.75446486,7620,1393,10
7,0.126174061,98.24845227,11.76426721,7620,1393,10
8,0.121819487,98.24845227,11.56041074,7620,1393,10
9,0.119624541,98.24845227,11.25157714,7620,1393,10
10,0.117917977,98.24845227,10.61839485,7620,1393,10
